,(none),b,p,m,f,v,d,t,n,l,lh,g,k,ng,h,z/j,c/q,s/x,y
od,od,bod,pod,mod,fod,vod,dod,tod,nod,lod,lhod,god,kod,ngod,hod,zod,cod,sod,yod
og,og,bog,pog,mog,fog,vog,dog,tog,nog,log,lhog,gog,kog,ngog,hog,zog,cog,sog,yog
i,,,,,,,,,,,,,,,,ji,qi,xi,yi
iu,iu,biu,piu,miu,fiu,viu,diu,tiu,niu,liu,lhiu,giu,kiu,ngiu,hiu,jiu,qiu,xiu,yiu
im,im,bim,pim,mim,fim,vim,dim,tim,nim,lim,lhim,gim,kim,ngim,him,jim,qim,xim,yim
in,in,bin,pin,min,fin,vin,din,tin,nin,lin,lhin,gin,kin,ngin,hin,jin,qin,xin,yin
ib,ib,bib,pib,mib,fib,vib,dib,tib,nib,lib,lhib,gib,kib,ngib,hib,jib,qib,xib,yib
id,id,bid,pid,mid,fid,vid,did,tid,nid,lid,lhid,gid,kid,ngid,hid,jid,qid,xid,yid
ie,ie,bie,pie,mie,fie,vie,die,tie,nie,lie,lhie,gie,kie,ngie,hie,jie,qie,xie,yie
ieu,ieu,bieu,pieu,mieu,fieu,vieu,dieu,tieu,nieu,lieu,lhieu,gieu,kieu,ngieu,hieu,jieu,qieu,xieu,yieu
iem,iem,biem,piem,miem,fiem,viem,diem,tiem,niem,liem,lhiem,giem,kiem,ngiem,hiem,jiem,qiem,xiem,yiem
ieng,ieng,bieng,pieng,mieng,fieng,vieng,dieng,tieng,nieng,lieng,lhieng,gieng,kieng,ngieng,hieng,jieng,qieng,xieng,yieng
ieb,ieb,bieb,pieb,mieb,fieb,vieb,dieb,tieb,nieb,lieb,lhieb,gieb,kieb,ngieb,hieb,jieb,qieb,xieb,yieb
ieg,ieg,bieg,pieg,mieg,fieg,vieg,dieg,tieg,nieg,lieg,lhieg,gieg,kieg,ngieg,hieg,jieg,qieg,xieg,yieg
u,u,bu,pu,mu,fu,vu,du,tu,nu,lu,lhu,gu,ku,ngu,hu,zu,cu,su,yu
ui,ui,bui,pui,mui,fui,vui,dui,tui,nui,lui,lhui,gui,kui,ngui,hui,zui,cui,sui,yui
uo,uo,buo,puo,muo,fuo,vuo,duo,tuo,nuo,luo,lhuo,guo,kuo,nguo,huo,zuo,cuo,suo,yuo
un,un,bun,pun,mun,fun,vun,dun,tun,nun,lun,lhun,gun,kun,ngun,hun,zun,cun,sun,yun
ung,ung,bung,pung,mung,fung,vung,dung,tung,nung,lung,lhung,gung,kung,ngung,hung,zung,cung,sung,yung
ud,ud,bud,pud,mud,fud,vud,dud,tud,nud,lud,lhud,gud,kud,ngud,hud,zud,cud,sud,yud
ug,ug,bug,pug,mug,fug,vug,dug,tug,nug,lug,lhug,gug,kug,ngug,hug,zug,cug,sug,yug
